37.000000,64.000000,1,270,440
44.000000,44.000000,4,51,51
63.000000,22.000000,4,237,207
94.000000,46.000000,2,279,51
49.000000,29.000000,3,39,39
57.000000,19.000000,0,269,207
90.000000,12.000000,1,327,207
79.000000,38.000000,0,269,207
90.000000,50.000000,2,279,51
47.000000,8.000000,0,269,207
31.000000,16.000000,0,55,39
6.000000,54.000000,3,201,51
96.000000,70.000000,4,265,265
72.000000,9.000000,1,327,207
93.000000,11.000000,3,207,207
11.000000,40.000000,2,199,39
16.000000,70.000000,4,16,440
30.000000,79.000000,3,426,440
7.000000,29.000000,4,54,39
90.000000,11.000000,1,327,207
96.000000,35.000000,1,327,207
21.000000,75.000000,3,426,440
10.000000,67.000000,0,440,440
66.000000,98.000000,2,399,265
66.000000,47.000000,4,51,51
60.000000,85.000000,0,489,265
15.000000,83.000000,2,26,440
97.000000,52.000000,1,482,265
33.000000,24.000000,3,39,39
58.000000,24.000000,4,54,39
29.000000,91.000000,3,426,440
6.000000,77.000000,2,26,440
30.000000,46.000000,4,16,440
38.000000,29.000000,4,54,39
16.000000,73.000000,2,26,440
97.000000,45.000000,0,489,265
98.000000,5.000000,0,269,207
45.000000,29.000000,3,39,39
60.000000,76.000000,0,489,265
24.000000,23.000000,3,39,39
53.000000,96.000000,4,265,265
38.000000,85.000000,0,440,440
28.000000,83.000000,4,16,440
97.000000,73.000000,2,279,51
98.000000,29.000000,2,178,207
63.000000,93.000000,2,399,265
99.000000,59.000000,1,482,265
65.000000,34.000000,3,207,207
92.000000,95.000000,4,265,265
55.000000,31.000000,2,178,207
60.000000,91.000000,2,399,265
52.000000,53.000000,4,51,51
74.000000,39.000000,1,256,51
65.000000,72.000000,3,53,265
38.000000,10.000000,4,54,39
27.000000,17.000000,0,55,39
34.000000,90.000000,4,16,440
91.000000,22.000000,3,207,207
3.000000,89.000000,2,26,440
10.000000,75.000000,0,440,440
92.000000,72.000000,1,482,265
4.000000,56.000000,1,211,39
11.000000,50.000000,2,26,440
58.000000,34.000000,4,51,51
15.000000,46.000000,0,440,440
27.000000,13.000000,3,39,39
58.000000,69.000000,1,270,440
10.000000,52.000000,1,211,39
89.000000,17.000000,1,327,207
60.000000,47.000000,4,51,51
98.000000,39.000000,4,237,207
53.000000,93.000000,3,53,265
85.000000,13.000000,2,178,207
18.000000,27.000000,2,199,39
68.000000,45.000000,3,207,207
10.000000,50.000000,3,201,51
